"";"Ano de Referência";"Mês de Referência";"ICAO Empresa Aérea";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"ICAO Aeródromo Retorno";"Tarifa-Nominal";"Assentos"
"1";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1662,";2
"2";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1655,";1
"3";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1669,";5
"4";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1654,";1
"5";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1606,";1
"6";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1595,";2
"7";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1588,";1
"8";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1648,";1
"9";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1642,";2
"10";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1641,";1
"11";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1636,";4
"12";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1636,";1
"13";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1631,";1
"14";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1630,";2
"15";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1629,";3
"16";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1621,";2
"17";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1585,";1
"18";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1581,";1
"19";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1579,";1
"20";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1579,";1
"21";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1568,";4
"22";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1559,";1
"23";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1548,";2
"24";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1663,";2
"25";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1544,";2
"26";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1926,";1
"27";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1445,";3
"28";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1540,";2
"29";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1445,";1
"30";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1538,";1
"31";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1538,";3
"32";2023;7;"AAL";"SBGR";"KDFW";"9999";"2600,";2
"33";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1495,";2
"34";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1493,";1
"35";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1531,";3
"36";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1440,";1
"37";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1528,";2
"38";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1525,";7
"39";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1479,";2
"40";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1436,";1
"41";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1475,";1
"42";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1474,";1
"43";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1520,";5
"44";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1434,";6
"45";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1512,";3
"46";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1510,";3
"47";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1471,";2
"48";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1432,";1
"49";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1465,";2
"50";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1465,";1
"51";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1508,";8
"52";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1429,";1
"53";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1502,";4
"54";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1501,";1
"55";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1462,";1
"56";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1429,";1
"57";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1456,";1
"58";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1453,";1
"59";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1425,";1
"60";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1449,";7
"61";2023;7;"AAL";"SBGR";"KJFK";"9999";"2720,";6
"62";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1420,";3
"63";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1413,";4
"64";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1418,";4
"65";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1410,";3
"66";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1391,";6
"67";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1409,";10
"68";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1407,";4
"69";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1406,";5
"70";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1405,";2
"71";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1401,";1
"72";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1400,";4
"73";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1398,";1
"74";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1390,99";6
"75";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1390,";2
"76";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1390,";1
"77";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1389,";2
"78";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1385,";2
"79";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1377,";1
"80";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1416,";2
"81";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1372,";3
"82";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1396,";2
"83";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1371,";4
