ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2023;11;AAL;SBGL;KJFK;9999;J;NA;1085,00;2
2023;11;AAL;SBGL;KJFK;9999;J;NA;2370,00;4
2023;11;AAL;SBGL;KJFK;9999;J;NA;2620,00;1
2023;11;AAL;SBGL;KJFK;9999;J;NA;2920,00;1
2023;11;AAL;SBGL;KJFK;9999;J;NA;3170,00;2
2023;11;AAL;SBGL;KJFK;9999;J;NA;3770,00;3
2023;11;AAL;SBGL;KJFK;9999;J;NA;4820,00;1
2023;11;AAL;SBGL;KJFK;9999;Y;NA;293,00;2
2023;11;AAL;SBGL;KJFK;9999;Y;NA;313,00;3
2023;11;AAL;SBGL;KJFK;9999;Y;NA;332,00;1
2023;11;AAL;SBGL;KJFK;9999;Y;NA;352,00;2
2023;11;AAL;SBGL;KJFK;9999;Y;NA;402,00;2
2023;11;AAL;SBGL;KJFK;9999;Y;NA;412,00;2
2023;11;AAL;SBGL;KJFK;9999;Y;NA;480,00;1
2023;11;AAL;SBGL;KJFK;9999;Y;NA;550,00;1
2023;11;AAL;SBGL;KJFK;9999;Y;NA;615,00;1
2023;11;AAL;SBGL;KJFK;9999;Y;NA;695,00;1
2023;11;AAL;SBGL;KJFK;9999;Y;NA;720,00;3
2023;11;AAL;SBGL;KJFK;9999;Y;NA;780,00;2
2023;11;AAL;SBGL;KJFK;9999;Y;NA;820,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;1736,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;2180,00;4
2023;11;AAL;SBGL;KJFK;SBGL;J;J;2312,00;2
2023;11;AAL;SBGL;KJFK;SBGL;J;J;2338,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;2429,00;2
2023;11;AAL;SBGL;KJFK;SBGL;J;J;2813,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;2842,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;3540,00;4
2023;11;AAL;SBGL;KJFK;SBGL;J;J;3625,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;3970,00;2
2023;11;AAL;SBGL;KJFK;SBGL;J;J;4040,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;4740,00;4
2023;11;AAL;SBGL;KJFK;SBGL;J;J;4840,00;2
2023;11;AAL;SBGL;KJFK;SBGL;J;J;4940,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;5040,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;5340,00;1
2023;11;AAL;SBGL;KJFK;SBGL;J;J;5640,00;1
