nr_ano_referencia;nr_mes_referencia;sg_empresa_icao;sg_icao_origem;sg_icao_destino;sg_icao_retorno;cd_classe_ida;cd_classe_volta;nr_tarifa;nr_assentos
2025;4;AAL;SBGL;KJFK;9999;Y;;490.0;2
2025;4;AAL;SBGL;KJFK;SBGL;J;J;1600.0;2
2025;4;AAL;SBGL;KJFK;SBGL;J;J;1640.0;2
2025;4;AAL;SBGL;KJFK;SBGL;J;J;1690.0;5
2025;4;AAL;SBGL;KJFK;SBGL;Y;Y;930.0;3
2025;4;AAL;SBGL;KJFK;SBGL;Y;Y;980.0;1
2025;4;AAL;SBGL;KMIA;9999;J;;1066.0;1
2025;4;AAL;SBGL;KMIA;9999;J;;1606.0;1
2025;4;AAL;SBGL;KMIA;9999;J;;2150.0;2
2025;4;AAL;SBGL;KMIA;9999;J;;2650.0;3
2025;4;AAL;SBGL;KMIA;9999;J;;3150.0;1
2025;4;AAL;SBGL;KMIA;9999;J;;3400.0;3
2025;4;AAL;SBGL;KMIA;9999;J;;4400.0;1
2025;4;AAL;SBGL;KMIA;9999;J;;6400.0;3
2025;4;AAL;SBGL;KMIA;9999;J;;9099.0;1
2025;4;AAL;SBGL;KMIA;9999;Y;;490.0;3
2025;4;AAL;SBGL;KMIA;9999;Y;;561.0;1
2025;4;AAL;SBGL;KMIA;9999;Y;;591.0;2
2025;4;AAL;SBGL;KMIA;9999;Y;;654.0;2
2025;4;AAL;SBGL;KMIA;9999;Y;;706.0;2
2025;4;AAL;SBGL;KMIA;9999;Y;;717.0;2
2025;4;AAL;SBGL;KMIA;9999;Y;;764.0;2
2025;4;AAL;SBGL;KMIA;9999;Y;;794.0;1
2025;4;AAL;SBGL;KMIA;9999;Y;;1060.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1283.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1604.0;5
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1630.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1679.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1731.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1789.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1876.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1916.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;1950.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2020.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2084.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2131.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2159.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2173.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2183.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2189.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2304.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2305.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2495.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2509.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2573.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2607.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2626.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2633.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2646.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2747.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;2852.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;3219.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;3889.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;4100.0;4
2025;4;AAL;SBGL;KMIA;SBGL;J;J;4300.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;4600.0;5
2025;4;AAL;SBGL;KMIA;SBGL;J;J;4628.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;4950.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;5100.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;5300.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;5550.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;5800.0;5
2025;4;AAL;SBGL;KMIA;SBGL;J;J;6550.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;6800.0;3
2025;4;AAL;SBGL;KMIA;SBGL;J;J;7300.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;J;7535.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;7550.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;7800.0;1
2025;4;AAL;SBGL;KMIA;SBGL;J;J;8300.0;2
2025;4;AAL;SBGL;KMIA;SBGL;J;Y;1502.0;1
